time,frequency,confidence
0.000,34.667,0.101
0.010,34.667,0.101
0.020,34.667,0.101
0.030,34.667,0.100
0.040,34.667,0.100
0.050,34.667,0.099
0.060,34.667,0.098
0.070,34.667,0.097
0.080,34.667,0.095
0.090,34.667,0.094
0.100,69.667,0.092
0.110,71.000,0.090
0.120,70.667,0.088
0.130,70.333,0.086
0.140,70.333,0.084
0.150,34.667,0.081
0.160,34.667,0.079
0.170,34.667,0.076
0.180,34.667,0.074
0.190,34.667,0.071
0.200,34.667,0.068
0.210,34.667,0.065
0.220,34.667,0.062
0.230,34.667,0.059
0.240,34.667,0.056
0.250,34.667,0.053
0.260,34.667,0.051
0.270,34.667,0.048
0.280,34.667,0.046
0.290,34.667,0.043
0.300,34.667,0.041
0.310,34.333,0.038
0.320,34.333,0.036
0.330,34.333,0.034
0.340,34.667,0.032
0.350,34.667,0.031
0.360,34.667,0.029
0.370,34.333,0.028
0.380,34.333,0.026
0.390,34.333,0.025
0.400,34.333,0.024
0.410,34.333,0.023
0.420,34.333,0.022
0.430,34.333,0.022
0.440,34.333,0.021
0.450,34.667,0.021
0.460,34.667,0.020
0.470,34.667,0.020
0.480,34.667,0.020
0.490,34.667,0.020
0.500,34.667,0.020
0.510,34.667,0.020
0.520,34.333,0.020
0.530,34.333,0.021
0.540,34.667,0.022
0.550,34.667,0.022
0.560,34.667,0.024
0.570,34.333,0.025
0.580,34.333,0.027
0.590,34.333,0.029
0.600,34.667,0.032
0.610,34.667,0.034
0.620,34.667,0.038
0.630,34.333,0.041
0.640,34.333,0.045
0.650,34.667,0.050
0.660,34.333,0.054
0.670,34.333,0.059
0.680,34.333,0.065
0.690,61.333,0.070
0.700,61.333,0.077
0.710,61.333,0.083
0.720,62.333,0.089
0.730,61.667,0.095
0.740,62.000,0.101
0.750,61.667,0.107
0.760,63.000,0.113
0.770,63.333,0.119
0.780,61.333,0.124
0.790,61.333,0.197
0.800,61.667,0.329
0.810,61.667,0.435
0.820,61.333,0.517
0.830,61.333,0.591
0.840,61.333,0.640
0.850,61.333,0.670
0.860,61.667,0.715
0.870,62.000,0.745
0.880,62.000,0.797
0.890,62.333,0.829
0.900,62.333,0.868
0.910,62.667,0.899
0.920,62.667,0.920
0.930,62.667,0.930
0.940,62.667,0.929
0.950,63.000,0.920
0.960,63.000,0.908
0.970,63.000,0.919
0.980,63.000,0.925
0.990,63.000,0.927
1.000,63.000,0.926
1.010,63.000,0.921
1.020,63.000,0.910
1.030,63.000,0.892
1.040,63.000,0.864
1.050,63.333,0.868
1.060,63.333,0.876
1.070,63.333,0.866
1.080,63.333,0.847
1.090,63.667,0.875
1.100,63.667,0.887
1.110,64.000,0.888
1.120,64.000,0.895
1.130,64.000,0.908
1.140,64.000,0.904
1.150,64.000,0.885
1.160,63.667,0.854
1.170,63.333,0.826
1.180,63.333,0.782
1.190,63.333,0.719
1.200,63.333,0.634
1.210,63.333,0.529
1.220,62.667,0.401
1.230,62.667,0.244
1.240,63.000,0.152
1.250,62.667,0.291
1.260,63.333,0.174
1.270,63.333,0.080
1.280,64.000,0.141
1.290,65.000,0.222
1.300,65.000,0.422
1.310,65.000,0.574
1.320,64.667,0.689
1.330,64.667,0.776
1.340,64.667,0.841
1.350,64.667,0.888
1.360,64.667,0.921
1.370,64.667,0.978
1.380,64.667,1.000
1.390,64.667,0.996
1.400,64.667,0.978
1.410,64.667,0.955
1.420,64.667,0.935
1.430,64.667,0.920
1.440,64.667,0.912
1.450,64.667,0.907
1.460,64.667,0.903
1.470,64.667,0.901
1.480,64.667,0.900
1.490,64.667,0.900
1.500,64.667,0.900
1.510,64.667,0.901
1.520,64.667,0.902
1.530,64.667,0.902
1.540,64.667,0.901
1.550,64.667,0.898
1.560,64.667,0.892
1.570,64.667,0.883
1.580,64.667,0.865
1.590,64.667,0.856
1.600,65.000,0.870
1.610,65.000,0.877
1.620,65.000,0.875
1.630,65.000,0.864
1.640,65.000,0.843
1.650,65.000,0.811
1.660,65.000,0.767
1.670,64.667,0.710
1.680,64.667,0.646
1.690,64.333,0.571
1.700,64.667,0.465
1.710,64.667,0.331
1.720,65.000,0.167
1.730,65.000,0.017
1.740,63.333,0.102
1.750,62.667,0.283
1.760,63.000,0.442
1.770,63.667,0.567
1.780,63.667,0.667
1.790,63.667,0.746
1.800,63.667,0.808
1.810,63.667,0.856
1.820,63.667,0.892
1.830,63.667,0.917
1.840,63.667,0.930
1.850,63.667,0.933
1.860,63.667,0.926
1.870,63.667,0.910
1.880,64.000,0.921
1.890,64.000,0.932
1.900,64.000,0.938
1.910,64.000,0.940
1.920,64.000,0.939
1.930,64.000,0.935
1.940,64.000,0.930
1.950,64.000,0.922
1.960,64.000,0.911
1.970,64.000,0.897
1.980,64.333,0.882
1.990,64.333,0.874
2.000,64.333,0.880
2.010,64.333,0.879
2.020,64.333,0.868
2.030,64.333,0.847
2.040,64.333,0.814
2.050,64.000,0.769
2.060,64.000,0.718
2.070,64.000,0.648
2.080,63.667,0.553
2.090,63.667,0.435
2.100,63.333,0.300
2.110,63.333,0.114
2.120,63.000,0.082
2.130,34.333,0.089
2.140,34.667,0.095
2.150,34.333,0.101
2.160,62.000,0.108
2.170,62.333,0.174
2.180,62.667,0.321
2.190,62.667,0.435
2.200,62.333,0.525
2.210,62.333,0.597
2.220,62.000,0.686
2.230,61.667,0.765
2.240,61.667,0.771
2.250,61.667,0.784
2.260,61.667,0.778
2.270,61.667,0.789
2.280,61.667,0.792
2.290,61.667,0.786
2.300,61.667,0.770
2.310,62.000,0.765
2.320,62.000,0.787
2.330,62.000,0.799
2.340,62.000,0.803
2.350,62.000,0.803
2.360,62.000,0.799
2.370,62.000,0.793
2.380,62.000,0.783
2.390,62.000,0.770
2.400,62.000,0.755
2.410,61.667,0.760
2.420,61.667,0.773
2.430,61.667,0.781
2.440,61.667,0.785
2.450,61.667,0.788
2.460,61.667,0.788
2.470,61.667,0.787
2.480,61.667,0.783
2.490,61.667,0.774
2.500,61.667,0.757
2.510,61.667,0.731
2.520,61.667,0.698
2.530,61.333,0.666
2.540,61.333,0.647
2.550,61.000,0.614
2.560,60.667,0.644
2.570,60.667,0.680
2.580,60.333,0.706
2.590,60.000,0.722
2.600,60.000,0.747
2.610,60.000,0.771
2.620,60.000,0.788
2.630,60.000,0.798
2.640,60.000,0.801
2.650,60.000,0.856
2.660,60.000,0.895
2.670,60.000,0.917
2.680,59.667,0.911
2.690,59.667,0.879
2.700,59.667,0.856
2.710,59.667,0.844
2.720,60.000,0.824
2.730,60.000,0.808
2.740,60.000,0.805
2.750,60.000,0.803
2.760,60.000,0.802
2.770,60.000,0.803
